player_id,first_name,last_name,player_name,current_club_id,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,contract_expiration_date,international_caps,international_goals,current_national_team_id,current_club_domestic_competition_id,current_club_name,market_value_in_eur,highest_market_value_in_eur,stats_player_name,stats_position,stats_club,minutes_played,goals,assists,xG,xAG,progressive_passes,progressive_carries,dribbles_attempted,dribbles_successful,shot_creating_actions,goal_creating_actions,tackles,blocks,yellow_cards_stats,red_cards_stats,position_group,goals_per90,assists_per90,xG_per90,xAG_per90,progressive_passes_per90,progressive_carries_per90,dribbles_successful_per90,shot_creating_actions_per90,goal_creating_actions_per90,tackles_per90,blocks_per90,goals_percentile,assists_percentile,xG_percentile,xAG_percentile,progressive_passes_percentile,progressive_carries_percentile,dribbles_successful_percentile,shot_creating_actions_percentile,goal_creating_actions_percentile,tackles_percentile,blocks_percentile,goals_per90_percentile,assists_per90_percentile,xG_per90_percentile,xAG_per90_percentile,progressive_passes_per90_percentile,progressive_carries_per90_percentile,dribbles_successful_per90_percentile,shot_creating_actions_per90_percentile,goal_creating_actions_per90_percentile,tackles_per90_percentile,blocks_per90_percentile,performance_score,age,market_value_in_eur_percentile,age_percentile,moneyball_score
29091,,Nenê,Nenê,10492,Brazil,Jundiaí,Brazil,1981-07-19,Attacking Midfield,Midfield,left,181.0,,4.0,1.0,,BRA1,Esporte Clube Juventude,200000.0,14000000.0,Nenê,LM,Juventude,1506.0,3.0,4.0,1.6,4.3,73.0,23.0,26.0,12.0,75.0,4.0,10.0,8.0,5.0,1.0,Attacking Midfielder,0.17928286852589642,0.2390438247011952,0.09561752988047809,0.25697211155378485,4.362549800796812,1.3745019920318726,0.7171314741035857,4.48207171314741,0.2390438247011952,0.5976095617529881,0.4780876494023904,0.42857142857142855,0.5476190476190477,0.23809523809523808,0.6428571428571429,0.3333333333333333,0.3333333333333333,0.2619047619047619,0.47619047619047616,0.21428571428571427,0.11904761904761904,0.16666666666666666,0.47619047619047616,0.6666666666666666,0.23809523809523808,0.8571428571428571,0.38095238095238093,0.2857142857142857,0.3333333333333333,0.5238095238095238,0.3333333333333333,0.09523809523809523,0.19047619047619047,0.5396825396825397,43,0.058823529411764705,1.0,0.5591036414565826
29241,Thiago,Silva,Thiago Silva,2462,Brazil,Rio de Janeiro,Brazil,1984-09-22,Centre-Back,Defender,right,181.0,2026-12-31 00:00:00,113.0,7.0,,BRA1,Fluminense Football Club,500000.0,40000000.0,Thiago Silva,CB,Fluminense,1260.0,0.0,0.0,0.5,0.7000000000000001,34.0,2.0,0.0,0.0,13.0,0.0,13.0,10.0,2.0,0.0,Centre-Back,0.0,0.0,0.03571428571428571,0.05,2.428571428571429,0.14285714285714285,0.0,0.9285714285714286,0.0,0.9285714285714286,0.7142857142857142,0.2625,0.35,0.35,0.75,0.175,0.1625,0.0625,0.4375,0.1625,0.1,0.1125,0.2625,0.35,0.425,0.8,0.35,0.125,0.0625,0.65,0.1625,0.1,0.15,0.2,40,0.22727272727272727,1.0,0.3131818181818182
37647,Dimitri,Payet,Dimitri Payet,978,Réunion,Saint-Pierre,France,1987-03-29,Attacking Midfield,Midfield,right,175.0,,38.0,8.0,,BRA1,Club de Regatas Vasco da Gama,1800000.0,30000000.0,Dimitri Payet,AM,Vasco da Gama,1220.0,3.0,3.0,1.7000000000000002,2.5,101.0,24.0,29.0,17.0,61.0,9.0,12.0,2.0,2.0,0.0,Attacking Midfielder,0.2213114754098361,0.2213114754098361,0.1254098360655738,0.18442622950819673,7.450819672131147,1.7704918032786887,1.2540983606557377,4.5,0.6639344262295083,0.8852459016393444,0.14754098360655737,0.42857142857142855,0.40476190476190477,0.2857142857142857,0.40476190476190477,0.5714285714285714,0.38095238095238093,0.47619047619047616,0.38095238095238093,0.5238095238095238,0.19047619047619047,0.047619047619047616,0.5238095238095238,0.6190476190476191,0.38095238095238093,0.5714285714285714,0.9047619047619048,0.5238095238095238,0.6190476190476191,0.5714285714285714,0.8571428571428571,0.23809523809523808,0.047619047619047616,0.5978835978835979,37,0.5294117647058824,0.9523809523809523,0.4835200746965453
45319,Gabriel,Mercado,Gabriel Mercado,6600,Argentina,Puerto Madryn,Argentina,1987-03-18,Centre-Back,Defender,right,180.0,2026-12-31 00:00:00,24.0,4.0,,BRA1,Sport Club Internacional,100000.0,6000000.0,Gabriel Mercado,CB,Internacional,1186.0,1.0,0.0,0.3,0.6,32.0,2.0,3.0,1.0,9.0,2.0,17.0,7.0,6.0,0.0,Centre-Back,0.07588532883642496,0.0,0.022765598650927484,0.04553119730185497,2.4283305227655987,0.15177065767284992,0.07588532883642496,0.6829679595278246,0.15177065767284992,1.2900505902192243,0.5311973018549747,0.675,0.35,0.2375,0.6875,0.15,0.1625,0.1875,0.225,0.6875,0.175,0.0625,0.775,0.35,0.25,0.775,0.325,0.175,0.225,0.375,0.875,0.375,0.05,0.24500000000000002,37,0.030303030303030304,0.9625,0.39504924242424244
46741,,David Luiz,David Luiz,10870,Brazil,Diadema,Brazil,1987-04-22,Centre-Back,Defender,right,189.0,2027-05-31 00:00:00,57.0,3.0,,BRA1,Fortaleza Esporte Clube,500000.0,30000000.0,David Luiz,CB,Flamengo,1756.0,3.0,0.0,1.9,0.4,104.0,32.0,10.0,4.0,31.0,1.0,11.0,19.0,5.0,0.0,Centre-Back,0.15375854214123008,0.0,0.09738041002277903,0.02050113895216401,5.330296127562643,1.6400911161731206,0.20501138952164008,1.5888382687927107,0.05125284738041002,0.5637813211845102,0.9738041002277904,0.925,0.35,0.875,0.5875,0.825,0.95,0.5625,0.8625,0.425,0.05,0.35,0.95,0.35,0.875,0.625,0.95,0.95,0.5,0.925,0.4,0.025,0.325,0.5366666666666667,37,0.22727272727272727,0.9625,0.5208068181818182
47592,,Fagner,Fagner,609,Brazil,São Paulo,Brazil,1989-06-11,Right-Back,Defender,right,168.0,2026-12-31 00:00:00,10.0,0.0,,BRA1,Cruzeiro Esporte Clube,200000.0,7000000.0,Fagner,RB,Corinthians,913.0,0.0,1.0,0.1,2.2,39.0,14.0,6.0,4.0,32.0,5.0,23.0,8.0,4.0,1.0,Full-Back,0.0,0.09857612267250822,0.009857612267250822,0.2168674698795181,3.8444687842278205,1.380065717415115,0.39430449069003287,3.154435925520263,0.4928806133625411,2.267250821467689,0.7886089813800657,0.15714285714285714,0.42857142857142855,0.08571428571428572,0.6428571428571429,0.14285714285714285,0.1,0.07142857142857142,0.37142857142857144,0.6428571428571429,0.15714285714285714,0.05714285714285714,0.15714285714285714,0.6571428571428571,0.11428571428571428,1.0,0.42857142857142855,0.2,0.22857142857142856,0.8571428571428571,0.9714285714285714,0.6,0.22857142857142856,0.48228571428571426,35,0.08064516129032258,0.9285714285714286,0.5299244239631336
52769,,Willian,Willian,210,Brazil,Ribeirão Pires,Brazil,1988-08-09,Left Winger,Attack,right,175.0,2026-12-31 00:00:00,70.0,9.0,,BRA1,Grêmio Foot-Ball Porto Alegrense,400000.0,50000000.0,Willian,CM,Vitória,2649.0,5.0,1.0,4.0,1.3,102.0,11.0,20.0,4.0,67.0,9.0,51.0,35.0,8.0,0.0,Winger,0.16987542468856173,0.03397508493771234,0.13590033975084936,0.044167610419026046,3.4654586636466593,0.3737259343148358,0.13590033975084936,2.276330690826727,0.3057757644394111,1.7327293318233297,1.1891279728199322,0.7692307692307693,0.23076923076923078,0.7692307692307693,0.11538461538461539,0.8076923076923077,0.038461538461538464,0.038461538461538464,0.6538461538461539,0.8653846153846154,0.9230769230769231,0.8846153846153846,0.5384615384615384,0.15384615384615385,0.34615384615384615,0.038461538461538464,0.38461538461538464,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.5384615384615384,0.5,0.6153846153846154,0.21449704142011833,36,0.14285714285714285,0.9615384615384616,0.34875316990701605
52896,,Everton Ribeiro,Everton Ribeiro,10010,Brazil,Arujá,Brazil,1989-04-10,Attacking Midfield,Midfield,left,174.0,2026-12-31 00:00:00,22.0,3.0,,BRA1,Esporte Clube Bahia,1000000.0,17000000.0,Everton Ribeiro,RM,Bahia,2681.0,2.0,5.0,1.2,4.3,326.0,85.0,69.0,29.0,122.0,13.0,53.0,22.0,4.0,0.0,Attacking Midfielder,0.06713912719134651,0.1678478179783663,0.04028347631480791,0.144349123461395,10.943677732189482,2.8534129056322266,0.9735173442745244,4.095486758672137,0.43640432674375235,1.7791868705706828,0.7385303991048116,0.23809523809523808,0.6904761904761905,0.16666666666666666,0.6428571428571429,1.0,0.9047619047619048,0.7142857142857143,0.8095238095238095,0.8333333333333334,0.9761904761904762,0.7619047619047619,0.09523809523809523,0.47619047619047616,0.047619047619047616,0.42857142857142855,1.0,0.7142857142857143,0.47619047619047616,0.42857142857142855,0.5714285714285714,0.8571428571428571,0.6190476190476191,0.380952380952381,35,0.23529411764705882,0.8809523809523809,0.4376050420168067
54590,Germán,Cano,Germán Cano,2462,Argentina,Posadas,Argentina,1988-01-02,Centre-Forward,Attack,right,176.0,2026-12-31 00:00:00,,,,BRA1,Fluminense Football Club,500000.0,3300000.0,Germán Cano,"FW,AM",Fluminense,1598.0,4.0,0.0,5.3,1.2000000000000002,19.0,4.0,17.0,6.0,18.0,0.0,9.0,4.0,5.0,0.0,Centre-Forward,0.22528160200250313,0.0,0.29849812265331666,0.06758448060075095,1.0700876095118899,0.22528160200250313,0.3379224030037547,1.013767209011264,0.0,0.506883604505632,0.22528160200250313,0.2619047619047619,0.09523809523809523,0.3333333333333333,0.2857142857142857,0.21428571428571427,0.09523809523809523,0.30952380952380953,0.09523809523809523,0.09523809523809523,0.3333333333333333,0.09523809523809523,0.3333333333333333,0.09523809523809523,0.42857142857142855,0.2857142857142857,0.09523809523809523,0.09523809523809523,0.19047619047619047,0.047619047619047616,0.09523809523809523,0.47619047619047616,0.09523809523809523,0.269047619047619,37,0.05555555555555555,0.9523809523809523,0.4046825396825397
55250,,Titi,Titi,10870,Brazil,Pelotas,Brazil,1988-03-12,Centre-Back,Defender,left,188.0,2026-11-30 00:00:00,,,,BRA1,Fortaleza Esporte Clube,200000.0,2300000.0,Titi,CB,Fortaleza,2020.0,1.0,0.0,0.2,0.5,43.0,8.0,4.0,3.0,10.0,0.0,31.0,30.0,8.0,0.0,Centre-Back,0.04455445544554455,0.0,0.008910891089108912,0.022277227722772276,1.915841584158416,0.3564356435643564,0.13366336633663367,0.44554455445544555,0.0,1.381188118811881,1.3366336633663365,0.675,0.35,0.0875,0.6375,0.3125,0.4,0.45,0.325,0.1625,0.7125,0.7375,0.625,0.35,0.025,0.65,0.175,0.4,0.4,0.15,0.1625,0.45,0.7,0.4183333333333333,36,0.07575757575757576,0.925,0.49331060606060595
